element_id;element_name;element_category;element_type;element_functional_unit;element_wastage_coefficient;material_id;material_name;material_category;material_type;material_functional_unit;material_description;material_common_uses;material_comments;material_embodied_energy;material_embodied_water;material_embodied_carbon;material_weight;quantity
11;Fibre cement sheet - 24 mm;Concrete and plaster products;Fibre cement;m²;1.0;62;Fibre cement sheet;Minerals;Fibre cement;kg;"Fibre cement sheet is a non-structural material manufactured from Portland cement. cellulose fibres and water. Sheets come in standard sizes. generally 1 800 to 3 000 mm in length. 900 or 1 200 mm wide and in thicknesses ranging from 4.5 mm to 24 mm. They can be easily cut to size on site. Thicker boards provide superior impact resistance while thinner boards are typically used in situations where impact resistance is not as crucial.
Thermal and acoustic performance is generally poor and additional insulation is usually needed when used as external cladding. However. it is termite and rot resistant and has very high fire resistance properties.
Fibre cement sheet is often used as a replacement for plasterboard. particularly in situations that are exposed to water (such as wet areas). It can be used for both residential and commercial buildings in a range of applications. including internal and external cladding. soffit linings and structural bracing.";Internal wall lining. external wall cladding. soffit lining. structural bracing;;0.0136870021793254;14.101878567857078;1.2793558907183191;1.0;34.68
12;FC weatherboard - 205 × 7.5 mm - per m² wall;Concrete and plaster products;Fibre cement;m²;1.0;63;Fibre cement weatherboard;Minerals;Fibre cement;kg;"Fibre cement weatherboards are a non-structural material manufactured from Portland cement. cellulose fibres and water. Boards generally come in 4 200 mm lengths. in widths from 150 to 300 mm and in thicknesses ranging from 7.5 mm to 16 mm. They can be easily cut to size on site. Thicker boards provide superior impact resistance while thinner boards are typically used in situations where impact resistance is not as crucial. They come in a range of textured finishes.
Fibre cement weatherboards are used as an external wall cladding. Each board is installed to overlap the board below. and as such. the effective wall coverage area is typically 80-90% of the actual area of boards used.
Thermal and acoustic performance is generally poor and additional insulation is usually needed. However. it is termite and rot resistant and has very high fire resistance properties.";External wall cladding;;0.020146351549677;23.486860261103818;1.838965681651676;1.0;11.67
13;FC weatherboard - 230 × 7.5 mm - per m² wall;Concrete and plaster products;Fibre cement;m²;1.0;63;Fibre cement weatherboard;Minerals;Fibre cement;kg;"Fibre cement weatherboards are a non-structural material manufactured from Portland cement. cellulose fibres and water. Boards generally come in 4 200 mm lengths. in widths from 150 to 300 mm and in thicknesses ranging from 7.5 mm to 16 mm. They can be easily cut to size on site. Thicker boards provide superior impact resistance while thinner boards are typically used in situations where impact resistance is not as crucial. They come in a range of textured finishes.
Fibre cement weatherboards are used as an external wall cladding. Each board is installed to overlap the board below. and as such. the effective wall coverage area is typically 80-90% of the actual area of boards used.
Thermal and acoustic performance is generally poor and additional insulation is usually needed. However. it is termite and rot resistant and has very high fire resistance properties.";External wall cladding;;0.020146351549677;23.486860261103818;1.838965681651676;1.0;10.9
14;FC weatherboard - 300 × 7.5 mm - per m² wall;Concrete and plaster products;Fibre cement;m²;1.0;63;Fibre cement weatherboard;Minerals;Fibre cement;kg;"Fibre cement weatherboards are a non-structural material manufactured from Portland cement. cellulose fibres and water. Boards generally come in 4 200 mm lengths. in widths from 150 to 300 mm and in thicknesses ranging from 7.5 mm to 16 mm. They can be easily cut to size on site. Thicker boards provide superior impact resistance while thinner boards are typically used in situations where impact resistance is not as crucial. They come in a range of textured finishes.
Fibre cement weatherboards are used as an external wall cladding. Each board is installed to overlap the board below. and as such. the effective wall coverage area is typically 80-90% of the actual area of boards used.
Thermal and acoustic performance is generally poor and additional insulation is usually needed. However. it is termite and rot resistant and has very high fire resistance properties.";External wall cladding;;0.020146351549677;23.486860261103818;1.838965681651676;1.0;11.31
15;FC weatherboard - 150 × 16 mm - per m² wall;Concrete and plaster products;Fibre cement;m²;1.0;63;Fibre cement weatherboard;Minerals;Fibre cement;kg;"Fibre cement weatherboards are a non-structural material manufactured from Portland cement. cellulose fibres and water. Boards generally come in 4 200 mm lengths. in widths from 150 to 300 mm and in thicknesses ranging from 7.5 mm to 16 mm. They can be easily cut to size on site. Thicker boards provide superior impact resistance while thinner boards are typically used in situations where impact resistance is not as crucial. They come in a range of textured finishes.
Fibre cement weatherboards are used as an external wall cladding. Each board is installed to overlap the board below. and as such. the effective wall coverage area is typically 80-90% of the actual area of boards used.
Thermal and acoustic performance is generally poor and additional insulation is usually needed. However. it is termite and rot resistant and has very high fire resistance properties.";External wall cladding;;0.020146351549677;23.486860261103818;1.838965681651676;1.0;21.1
16;FC weatherboard - 180 × 16 mm - per m² wall;Concrete and plaster products;Fibre cement;m²;1.0;63;Fibre cement weatherboard;Minerals;Fibre cement;kg;"Fibre cement weatherboards are a non-structural material manufactured from Portland cement. cellulose fibres and water. Boards generally come in 4 200 mm lengths. in widths from 150 to 300 mm and in thicknesses ranging from 7.5 mm to 16 mm. They can be easily cut to size on site. Thicker boards provide superior impact resistance while thinner boards are typically used in situations where impact resistance is not as crucial. They come in a range of textured finishes.
Fibre cement weatherboards are used as an external wall cladding. Each board is installed to overlap the board below. and as such. the effective wall coverage area is typically 80-90% of the actual area of boards used.
Thermal and acoustic performance is generally poor and additional insulation is usually needed. However. it is termite and rot resistant and has very high fire resistance properties.";External wall cladding;;0.020146351549677;23.486860261103818;1.838965681651676;1.0;21.1
17;Flat glass sheet - 3 mm;Glass;Flat glass;m²;1.0;64;Flat glass;Minerals;Glass;kg;"Flat glass. also known as soda-lime glass. is made from a combination of silica. soda. lime (from limestone). dolomite and aluminium oxide. Cullet. or waste glass. can also be added. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. This gives it the common name of float glass.
The speed at which glass flows across the tin bath determines the glass thickness. which typically ranges from 2 to 25 mm. The glass is then gradually cooled (annealed) and cut to size. It can also be coated with a range of materials to provide particular characteristics (such as thermal. reflective. privacy).
Flat glass is commonly used in buildings to provide daylight and views. It is used for windows. glass doors and transparent walls.";Windows. skylights. internal partitions. doors;;0.0284557648326233;32.18730721157652;2.015827918221774;1.0;7.8
18;Flat glass sheet - 4 mm;Glass;Flat glass;m²;1.03;64;Flat glass;Minerals;Glass;kg;"Flat glass. also known as soda-lime glass. is made from a combination of silica. soda. lime (from limestone). dolomite and aluminium oxide. Cullet. or waste glass. can also be added. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. This gives it the common name of float glass.
The speed at which glass flows across the tin bath determines the glass thickness. which typically ranges from 2 to 25 mm. The glass is then gradually cooled (annealed) and cut to size. It can also be coated with a range of materials to provide particular characteristics (such as thermal. reflective. privacy).
Flat glass is commonly used in buildings to provide daylight and views. It is used for windows. glass doors and transparent walls.";Windows. skylights. internal partitions. doors;;0.0284557648326233;32.18730721157652;2.015827918221774;1.0;10.4
19;Flat glass sheet - 5 mm;Glass;Flat glass;m²;1.0;64;Flat glass;Minerals;Glass;kg;"Flat glass. also known as soda-lime glass. is made from a combination of silica. soda. lime (from limestone). dolomite and aluminium oxide. Cullet. or waste glass. can also be added. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. This gives it the common name of float glass.
The speed at which glass flows across the tin bath determines the glass thickness. which typically ranges from 2 to 25 mm. The glass is then gradually cooled (annealed) and cut to size. It can also be coated with a range of materials to provide particular characteristics (such as thermal. reflective. privacy).
Flat glass is commonly used in buildings to provide daylight and views. It is used for windows. glass doors and transparent walls.";Windows. skylights. internal partitions. doors;;0.0284557648326233;32.18730721157652;2.015827918221774;1.0;13.0
20;Flat glass sheet - 6 mm;Glass;Flat glass;m²;1.0;64;Flat glass;Minerals;Glass;kg;"Flat glass. also known as soda-lime glass. is made from a combination of silica. soda. lime (from limestone). dolomite and aluminium oxide. Cullet. or waste glass. can also be added. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. This gives it the common name of float glass.
The speed at which glass flows across the tin bath determines the glass thickness. which typically ranges from 2 to 25 mm. The glass is then gradually cooled (annealed) and cut to size. It can also be coated with a range of materials to provide particular characteristics (such as thermal. reflective. privacy).
Flat glass is commonly used in buildings to provide daylight and views. It is used for windows. glass doors and transparent walls.";Windows. skylights. internal partitions. doors;;0.0284557648326233;32.18730721157652;2.015827918221774;1.0;15.6
21;Flat glass sheet - 10 mm;Glass;Flat glass;m²;1.0;64;Flat glass;Minerals;Glass;kg;"Flat glass. also known as soda-lime glass. is made from a combination of silica. soda. lime (from limestone). dolomite and aluminium oxide. Cullet. or waste glass. can also be added. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. This gives it the common name of float glass.
The speed at which glass flows across the tin bath determines the glass thickness. which typically ranges from 2 to 25 mm. The glass is then gradually cooled (annealed) and cut to size. It can also be coated with a range of materials to provide particular characteristics (such as thermal. reflective. privacy).
Flat glass is commonly used in buildings to provide daylight and views. It is used for windows. glass doors and transparent walls.";Windows. skylights. internal partitions. doors;;0.0284557648326233;32.18730721157652;2.015827918221774;1.0;26.0
22;Flat glass sheet - 12 mm;Glass;Flat glass;m²;1.0;64;Flat glass;Minerals;Glass;kg;"Flat glass. also known as soda-lime glass. is made from a combination of silica. soda. lime (from limestone). dolomite and aluminium oxide. Cullet. or waste glass. can also be added. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. This gives it the common name of float glass.
The speed at which glass flows across the tin bath determines the glass thickness. which typically ranges from 2 to 25 mm. The glass is then gradually cooled (annealed) and cut to size. It can also be coated with a range of materials to provide particular characteristics (such as thermal. reflective. privacy).
Flat glass is commonly used in buildings to provide daylight and views. It is used for windows. glass doors and transparent walls.";Windows. skylights. internal partitions. doors;;0.0284557648326233;32.18730721157652;2.015827918221774;1.0;31.2
23;Laminated glass sheet - 6.38 mm;Glass;Laminated glass;m²;1.0;75;Laminated glass;Minerals;Glass;kg;"Laminated glass is a composite safety glass. made by combing two or more sheets of flat glass with a plastic. or polyvinyl butyral (PVB) interlayer (usually 0.38 mm thick). The layers are bonded together using heat and pressure.
Flat glass is made from a combination of silica. soda. lime. dolomite and aluminium oxide. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. The glass is then gradually cooled (annealed) and cut to size.
Laminated glass is commonly used for windows. glass doors and transparent walls. where there is an increased chance of damage. as when broken. the glass remains intact. held together by the PVB layer. It provides added safety. security. thermal and acoustic properties over flat glass. The glass comes in a range of thicknesses. starting from 6.38 mm.";Windows. doors. partitions. skylights. ballustrades;;0.0364209757278619;59.7493042373758;2.8183375990628177;1.0;16.588
24;Laminated glass sheet - 8.38 mm;Glass;Laminated glass;m²;1.0;75;Laminated glass;Minerals;Glass;kg;"Laminated glass is a composite safety glass. made by combing two or more sheets of flat glass with a plastic. or polyvinyl butyral (PVB) interlayer (usually 0.38 mm thick). The layers are bonded together using heat and pressure.
Flat glass is made from a combination of silica. soda. lime. dolomite and aluminium oxide. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. The glass is then gradually cooled (annealed) and cut to size.
Laminated glass is commonly used for windows. glass doors and transparent walls. where there is an increased chance of damage. as when broken. the glass remains intact. held together by the PVB layer. It provides added safety. security. thermal and acoustic properties over flat glass. The glass comes in a range of thicknesses. starting from 6.38 mm.";Windows. doors. partitions. skylights. ballustrades;;0.0364209757278619;59.7493042373758;2.8183375990628177;1.0;21.788
25;Laminated glass sheet - 10.38 mm;Glass;Laminated glass;m²;1.0;75;Laminated glass;Minerals;Glass;kg;"Laminated glass is a composite safety glass. made by combing two or more sheets of flat glass with a plastic. or polyvinyl butyral (PVB) interlayer (usually 0.38 mm thick). The layers are bonded together using heat and pressure.
Flat glass is made from a combination of silica. soda. lime. dolomite and aluminium oxide. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. The glass is then gradually cooled (annealed) and cut to size.
Laminated glass is commonly used for windows. glass doors and transparent walls. where there is an increased chance of damage. as when broken. the glass remains intact. held together by the PVB layer. It provides added safety. security. thermal and acoustic properties over flat glass. The glass comes in a range of thicknesses. starting from 6.38 mm.";Windows. doors. partitions. skylights. ballustrades;;0.0364209757278619;59.7493042373758;2.8183375990628177;1.0;26.988
26;Laminated glass sheet - 12.38 mm;Glass;Laminated glass;m²;1.0;75;Laminated glass;Minerals;Glass;kg;"Laminated glass is a composite safety glass. made by combing two or more sheets of flat glass with a plastic. or polyvinyl butyral (PVB) interlayer (usually 0.38 mm thick). The layers are bonded together using heat and pressure.
Flat glass is made from a combination of silica. soda. lime. dolomite and aluminium oxide. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. The glass is then gradually cooled (annealed) and cut to size.
Laminated glass is commonly used for windows. glass doors and transparent walls. where there is an increased chance of damage. as when broken. the glass remains intact. held together by the PVB layer. It provides added safety. security. thermal and acoustic properties over flat glass. The glass comes in a range of thicknesses. starting from 6.38 mm.";Windows. doors. partitions. skylights. ballustrades;;0.0364209757278619;59.7493042373758;2.8183375990628177;1.0;32.188
27;Toughened glass sheet - 3 mm;Glass;Toughened glass;m²;1.0;116;Toughened glass;Minerals;Glass;kg;"Toughened. or tempered glass is made from flat glass that has been strengthened. Flat glass is made from a combination of silica. soda. lime. dolomite and aluminium oxide. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. The glass is then gradually cooled (annealed) and cut to size.
To produce toughened glass. the flat glass is then heated and rapidly cooled. increasing compressive stress on the outer surfaces of the glass. This produces glass that is 5 times stronger than standard flat glass.
Toughened glass is commonly used for windows. glass doors. balustrades. shower screens and pool fences. It provides added safety over flat glass as when broken. the glass shatters into small even pieces.";Windows. doors. partitions. skylights. ballustrades. shower screens;Was tempered glass;0.0297910405557178;30.191014804301915;2.1895749002230223;1.0;7.8
28;Toughened glass sheet - 4 mm;Glass;Toughened glass;m²;1.0;116;Toughened glass;Minerals;Glass;kg;"Toughened. or tempered glass is made from flat glass that has been strengthened. Flat glass is made from a combination of silica. soda. lime. dolomite and aluminium oxide. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. The glass is then gradually cooled (annealed) and cut to size.
To produce toughened glass. the flat glass is then heated and rapidly cooled. increasing compressive stress on the outer surfaces of the glass. This produces glass that is 5 times stronger than standard flat glass.
Toughened glass is commonly used for windows. glass doors. balustrades. shower screens and pool fences. It provides added safety over flat glass as when broken. the glass shatters into small even pieces.";Windows. doors. partitions. skylights. ballustrades. shower screens;Was tempered glass;0.0297910405557178;30.191014804301915;2.1895749002230223;1.0;10.4
29;Toughened glass sheet - 5 mm;Glass;Toughened glass;m²;1.0;116;Toughened glass;Minerals;Glass;kg;"Toughened. or tempered glass is made from flat glass that has been strengthened. Flat glass is made from a combination of silica. soda. lime. dolomite and aluminium oxide. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. The glass is then gradually cooled (annealed) and cut to size.
To produce toughened glass. the flat glass is then heated and rapidly cooled. increasing compressive stress on the outer surfaces of the glass. This produces glass that is 5 times stronger than standard flat glass.
Toughened glass is commonly used for windows. glass doors. balustrades. shower screens and pool fences. It provides added safety over flat glass as when broken. the glass shatters into small even pieces.";Windows. doors. partitions. skylights. ballustrades. shower screens;Was tempered glass;0.0297910405557178;30.191014804301915;2.1895749002230223;1.0;13.0
30;Toughened glass sheet - 6 mm;Glass;Toughened glass;m²;1.03;116;Toughened glass;Minerals;Glass;kg;"Toughened. or tempered glass is made from flat glass that has been strengthened. Flat glass is made from a combination of silica. soda. lime. dolomite and aluminium oxide. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. The glass is then gradually cooled (annealed) and cut to size.
To produce toughened glass. the flat glass is then heated and rapidly cooled. increasing compressive stress on the outer surfaces of the glass. This produces glass that is 5 times stronger than standard flat glass.
Toughened glass is commonly used for windows. glass doors. balustrades. shower screens and pool fences. It provides added safety over flat glass as when broken. the glass shatters into small even pieces.";Windows. doors. partitions. skylights. ballustrades. shower screens;Was tempered glass;0.0297910405557178;30.191014804301915;2.1895749002230223;1.0;15.6
31;Toughened glass sheet - 10 mm;Glass;Toughened glass;m²;1.0;116;Toughened glass;Minerals;Glass;kg;"Toughened. or tempered glass is made from flat glass that has been strengthened. Flat glass is made from a combination of silica. soda. lime. dolomite and aluminium oxide. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. The glass is then gradually cooled (annealed) and cut to size.
To produce toughened glass. the flat glass is then heated and rapidly cooled. increasing compressive stress on the outer surfaces of the glass. This produces glass that is 5 times stronger than standard flat glass.
Toughened glass is commonly used for windows. glass doors. balustrades. shower screens and pool fences. It provides added safety over flat glass as when broken. the glass shatters into small even pieces.";Windows. doors. partitions. skylights. ballustrades. shower screens;Was tempered glass;0.0297910405557178;30.191014804301915;2.1895749002230223;1.0;26.0
32;Toughened glass sheet - 12 mm;Glass;Toughened glass;m²;1.03;116;Toughened glass;Minerals;Glass;kg;"Toughened. or tempered glass is made from flat glass that has been strengthened. Flat glass is made from a combination of silica. soda. lime. dolomite and aluminium oxide. The raw materials are melted at high temperature and the molten glass is then formed into flat glass using a variety of processes. A floating process. where the molten glass is floated on a bed of tin. is most common for manufacturing window glass. The glass is then gradually cooled (annealed) and cut to size.
To produce toughened glass. the flat glass is then heated and rapidly cooled. increasing compressive stress on the outer surfaces of the glass. This produces glass that is 5 times stronger than standard flat glass.
Toughened glass is commonly used for windows. glass doors. balustrades. shower screens and pool fences. It provides added safety over flat glass as when broken. the glass shatters into small even pieces.";Windows. doors. partitions. skylights. ballustrades. shower screens;Was tempered glass;0.0297910405557178;30.191014804301915;2.1895749002230223;1.0;31.2
33;Cellulose insulation - 80 mm (R2);Insulation;Cellulose;m²;1.0;34;Cellulose insulation;Timber;Cellulose;kg;"Cellulose is an organic compound that constitutes the primary cell wall of green plants and is the most abundant polymer on Earth. Cellulose insulation has good thermal insulation properties (heat conductivity = 0.04 W/(m·K)). It also acts as sound insulation.
Cellulose insulation is made from recycled newspaper (75-85%) and from natural fire retardants and anti-fungal agents such as boric acid (15-25%). Newspapers are shredded and mixed with boric acid before being turned into small fibres. These are packaged for installation on site.
Cellulose insulation is mostly used in roofs and walls and is typically blown.";Insulation;;0.0120692237359856;20.519570042565547;0.7870616362841618;1.0;4.0
